1_Ciliated	2_Ciliated	3_Ciliated	4_Ciliated	1_Secretory	2_Secretory	3_Secretory	Early_Secretory	1_Transitional	2_Transitional
CCDC170	1.14884322591265	1.28670123289515	0.0912053102202574	1.44730312407617	-1.00219263051628	-0.792607790383197	-0.893992126285359	-0.270285651910017	0.163919455798958	-1.17889414980834
LRRIQ1	1.50531291157548	0.93610587618389	0.57666069830559	1.21596355687616	-0.908015414467963	-0.932952052157238	-0.979004523021366	-0.486455170649562	0.138860403476483	-1.06647628612148
SPA17	1.0903280892413	0.678287497409569	1.40067080179541	1.23238250364168	-0.854794831692251	-1.01558522300426	-1.0147701103089	-0.515037809835288	-0.105852175199641	-0.895628742047618
FAM92B	1.06540283936749	0.862484099140082	1.22215486555606	1.16349894034031	-0.888424492687417	-1.0089445830457	-1.03120503606559	-0.283204779679313	0.0473874306465472	-1.14914928357248
METRN	0.979451024148405	1.29679928283914	0.462488084635191	1.25695112694936	-1.1231449470978	-0.802637960938989	-0.883637855860519	0.134116294844822	0.0430045665567021	-1.36338961607631
TCTEX1D2	0.998791922817129	0.873610996065522	1.27036789139186	1.16828331694347	-0.762123034849287	-1.02756326209321	-1.03777742195679	-0.317226775728248	0.0356733323511677	-1.20203696494162
LDLRAD1	1.18637634352413	0.904058651142811	0.967795746438245	1.17658378239482	-0.930105619045819	-0.985306339579502	-1.04343552424057	-0.327128710827759	0.222849830125154	-1.17168815993151
FOLR1	0.941203495517061	1.19578528117174	-0.268315107963242	1.60546754302659	-0.328600363470793	0.207746897018882	-0.194002889127319	-1.2416001784435	-0.47634251778056	-1.44134215994885
DNAAF1	1.46974584600089	1.18740817042763	-0.418896580682466	1.26452716126381	-1.09855088499878	-0.84590687871811	-0.809085254673522	-0.146241877513615	0.360022351589062	-0.9630220526949
WDR54	0.976359406153106	1.09343332640492	1.07058823568835	1.17136799011958	-0.955097931158709	-1.04790687893823	-1.11132602483607	-0.166685825159211	-0.00130943345104365	-1.02942286482268
SOD3	0.463816714897583	1.33731783659037	0.377275163353328	1.48123987331303	-0.91110276182665	-0.790762731378479	-0.961541072783197	0.511843020314734	-0.0903688768210756	-1.41771716565964
CIB1	0.970422163267928	0.808955766839612	1.28439439240284	1.14465634654967	-0.773329048824988	-1.12746599187917	-1.28448430544597	-0.33717559100809	0.193613364324866	-0.879587096226701
C9orf135	1.01987323703285	1.08638029102124	1.12484004203717	1.1551027339977	-0.874676369492338	-0.923807258604508	-1.02503340180691	-0.532755988654485	0.0752658513844253	-1.10518913691514
FAM81B	1.07965960876663	0.933676833619319	1.09962796896486	1.17708719136136	-0.991626487991786	-0.956423996301631	-1.07757615237124	-0.362814652342614	0.169896625798441	-1.07150693950335
LRRC46	1.04819470244662	0.831089846725238	1.3036498544867	1.11082197571616	-0.926700753188605	-1.06954336239961	-1.11518913646007	-0.322227349214071	0.0977267736357077	-0.95782255174807
SLPI	0.0920583460958784	0.0265712208065064	-0.898881373487772	0.281372412559507	1.69510992603788	1.49880619002485	-0.0352099546176625	-1.53043875646522	-0.528622905279393	-0.600765105674562
LRRC23	1.02953189673392	0.942825553759117	1.18687249068758	1.13940851627111	-0.914199927246937	-0.873974179205806	-1.17624583608463	-0.246799948847116	0.0516601607641747	-1.13907872683142
EFCAB1	1.06728657506924	0.873659797282663	1.16972496787185	1.23321463886169	-0.853616338510775	-0.995525089146425	-1.02092939074302	-0.372752366112554	0.0416684155764293	-1.1427312101491
G0S2	0.245648362818392	1.09403026621789	-0.0851959945574632	0.460803205166788	-1.18658026821293	-0.716591770565316	0.0618333603773929	-0.573760353936969	-1.2349887705426	1.93480196323481
MNS1	1.15155029848138	1.07619288861486	0.973358793417358	1.19528690748125	-0.969441965552805	-1.05352096244248	-1.01111721710047	-0.472620342187158	0.028641682229694	-0.918330082941629
PERP	0.928989952988964	1.41855435276268	0.459423802933391	1.45739293633971	-0.740793480081702	-0.7273030010958	-0.948608639239941	-0.556681063348255	-0.0672089616192001	-1.22376589963984
FGA	-0.349040876572325	2.50719377518172	-0.243436471173037	-0.460018052257804	-0.565343448863265	-0.54929231910139	-0.379865929303418	-0.42300362720371	1.02815039815649	-0.565343448863265
IK	1.09461584033052	1.02979233434683	1.09334150315359	1.17470764906938	-0.969800519899224	-1.04350307108808	-1.18692662261292	-0.312611492168322	-0.091084477407537	-0.788531143724244
HMGN3	1.07731390173646	0.810911390375271	1.36877600154046	1.12054409162397	-0.554034128584728	-0.931238563722815	-1.26372355733692	-0.629164638070098	-0.0602257915465953	-0.939158706015005
DNALI1	1.0625203966347	0.953477132679571	1.33740340527279	1.07332120253389	-0.851938541530218	-0.996326418701004	-0.947009255886723	-0.620115830883199	-0.000674258937600829	-1.01065783118221
CFAP53	1.13955410808381	1.05456097323011	0.847664967956521	1.2941057697017	-0.951608256696096	-0.871455971562044	-1.00426135685762	-0.409283801047385	0.0630687781239036	-1.16234521093289
TEKT1	1.05590759662359	0.914820405435998	1.22142768701667	1.13527347600319	-0.846908554640608	-0.963439554176445	-1.04960565820164	-0.458979374880292	0.128640296134084	-1.13713631931455
ERICH3	1.36436616184018	1.0672611246591	0.154202826216731	1.35363624239708	-1.03573087857182	-0.971085429898531	-0.978870504899113	-0.105377909889191	0.207629494030984	-1.05603112588541
